public,keywords,2
class,keywords,1
Prime,IDENTIFIER,1
{,seperators,4
static,keywords,1
void,keywords,1
main,IDENTIFIER,1
(,seperators,6
String,IDENTIFIER,1
[,seperators,1
],seperators,1
args,IDENTIFIER,1
),seperators,6
int,keywords,3
num,IDENTIFIER,6
=,operator,6
29,literal,1
;,seperators,10
boolean,keywords,1
flag,IDENTIFIER,3
false,literal,1
for,keywords,1
i,IDENTIFIER,4
2,literal,2
<=,operator,1
/,operator,2
++,operator,1
if,keywords,2
%,operator,1
==,operator,1
0,literal,1
true,literal,1
break,keywords,1
},seperators,4
This,IDENTIFIER,1
is,IDENTIFIER,1
a,IDENTIFIER,1
comment,IDENTIFIER,1
*,operator,1
kk,IDENTIFIER,3
';',literal,1
3,literal,1
>>,operator,1
!,operator,1
System,IDENTIFIER,2
.,seperators,4
out,IDENTIFIER,2
println,IDENTIFIER,2
+,operator,2
 is a prime number.,literal,1
else,keywords,1
 is not a prime number.,literal,1
